# sheet: Sheet1
Food Group Code ,NDB,Yield Description,Preparation Method1, Cooking Yield %,n,SD,Yield Minimum %,Yield Maximum %,Moisture Gain/ Loss %,Fat   Gain/ Loss %,Release Year2
10.0,10212.0,"Pork, fresh, loin, sirloin (chops), boneless, separable lean and fat ",Broiled or Grilled,79.0,12.0,5.38,73.0,94.0,-23.2,0.1,2011.0
10.0,10218.0,"Pork, fresh, loin, tenderloin, separable lean and fat",Roasted,80.0,1.0,n/a,n/a,n/a,-4.68,0.32,2009.0
10.0,10061.0,"Pork, fresh, loin, tenderloin, separable lean only","Baked or Roasted, unspecified",77.0,12.0,3.0,74.0,84.0,-20.7,0.5,2009.0
10.0,10063.0,"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat ",Braised,73.0,12.0,4.1,62.0,84.0,-24.9,-0.9,2011.0
10.0,10186.0,"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat ",Pan-fried,77.0,12.0,5.94,60.0,85.0,-22.2,-0.9,2011.0
10.0,10959.0,"Pork, fresh, shoulder breast, boneless, separable lean and fat",Broiled or Grilled,80.0,1.0,n/a,n/a,n/a,-20.88,0.2,2009.0
10.0,10075.0,"Pork, fresh, shoulder, arm picnic, separable lean and fat ",Braised,74.0,12.0,2.72,70.0,78.0,-19.0,-0.8,2011.0
10.0,10960.0,"Pork, fresh, shoulder, petite tender, boneless, separable lean and fat",Broiled or Grilled,82.0,1.0,n/a,n/a,n/a,-18.16,-0.45,2009.0
10.0,10940.0,"Pork, fresh, spareribs, separable lean and fat","Baked or Roasted, unspecified",76.0,12.0,3.208,68.0,79.0,-22.92,0.19,2009.0
10.0,10099.0,"Pork, fresh, variety meats and by-products, chitterlings","Poached, Simmered or Stewed",39.0,1.0,n/a,n/a,n/a,-49.88,-8.76,2009.0
10.0,10173.0,"Pork, fresh, variety meats and by-products, feet","Poached, Simmered or Stewed",36.0,1.0,n/a,n/a,n/a,-42.58,-6.9,2003.0
10.0,10863.0,"Pork, fresh, variety meats and by-products, stomach","Poached, Simmered or Stewed",69.0,1.0,n/a,n/a,n/a,-24.76,-5.1,2003.0
