retention_code,food_group_code,retention_description,nutrient_code,nutrient_description,retention_percent,add_mod_date
2151,01,"MILK,HEATED APPROX 10MIN",404,Thiamin,90,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",405,Riboflavin,100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",406,Niacin,100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",415,Vitamin B-6,90,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",417,"Folate, total",85,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",431,Folic acid,85,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",432,"Folate, food",85,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",421,"Choline, total",90,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",418,Vitamin B-12,80,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",318,"Vitamin A, IU",100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",392,"Vitamin A, RE",100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",221,"Alcohol, ethyl",100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",321,"Carotene, beta",100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",322,"Carotene, alpha",100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",334,"Cryptoxanthin, beta",100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",337,Lycopene,100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",338,Lutein + zeaxanthin,100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",301,"Calcium, Ca",100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",303,"Iron, Fe",100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",304,"Magnesium, Mg",100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",305,"Phosphorus, P",100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",306,"Potassium, K",100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",307,"Sodium, Na",100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",309,"Zinc, Zn",100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",312,"Copper, Cu",100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",401,"Vitamin C, total ascorbic acid",65,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",404,Thiamin,75,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",405,Riboflavin,100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",406,Niacin,100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",415,Vitamin B-6,75,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",417,"Folate, total",80,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",431,Folic acid,80,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",432,"Folate, food",80,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",421,"Choline, total",75,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",418,Vitamin B-12,55,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",318,"Vitamin A, IU",100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",392,"Vitamin A, RE",100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",221,"Alcohol, ethyl",100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",321,"Carotene, beta",100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",322,"Carotene, alpha",100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",334,"Cryptoxanthin, beta",100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",337,Lycopene,100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",338,Lutein + zeaxanthin,100,09/1975
2154,01,"MILK,REHEATED",301,"Calcium, Ca",100,09/1975
2154,01,"MILK,REHEATED",303,"Iron, Fe",100,09/1975
2154,01,"MILK,REHEATED",304,"Magnesium, Mg",100,09/1975
2154,01,"MILK,REHEATED",305,"Phosphorus, P",100,09/1975
2154,01,"MILK,REHEATED",306,"Potassium, K",100,09/1975
2154,01,"MILK,REHEATED",307,"Sodium, Na",100,09/1975
2154,01,"MILK,REHEATED",309,"Zinc, Zn",100,09/1975
